identificador,p_desercion,resultado_modelo
110545,0.1361,No deserta
110718,0.1058,No deserta
110717,0.0384,No deserta
111115,0.0448,No deserta
111308,0.1883,No deserta
112040,0.0774,No deserta
112307,0.1118,No deserta
112304,0.0409,No deserta
112309,0.9491,Deserta
112591,0.0708,No deserta
112592,0.0731,No deserta
112759,0.0656,No deserta
112758,0.0812,No deserta
112766,0.085,No deserta
112764,0.082,No deserta
112760,0.0498,No deserta
112761,0.0462,No deserta
112762,0.103,No deserta
112944,0.1564,No deserta
112943,0.1148,No deserta
113404,0.0724,No deserta
113408,0.0565,No deserta
113406,0.1665,No deserta
113407,0.0568,No deserta
113403,0.1069,No deserta
114747,0.0423,No deserta
115077,0.0606,No deserta
115633,0.1054,No deserta
115644,0.4271,No deserta
115740,0.1858,No deserta
116110,0.0771,No deserta
117001,0.055,No deserta
117569,0.0994,No deserta
118185,0.6237,Deserta
118525,0.0767,No deserta
118858,0.0826,No deserta
118859,0.0637,No deserta
119102,0.0347,No deserta
119139,0.0586,No deserta
119579,0.0804,No deserta
119578,0.0467,No deserta
119779,0.1277,No deserta
119780,0.0584,No deserta
119913,0.9809,Deserta
119912,0.1142,No deserta
119914,0.0946,No deserta
120565,0.0438,No deserta
120633,0.0547,No deserta
121115,0.105,No deserta
121269,0.0536,No deserta
121371,0.0354,No deserta
121370,0.9342,Deserta
121468,0.0286,No deserta
121645,0.0886,No deserta
121713,0.1255,No deserta
122839,0.0485,No deserta
124071,0.0352,No deserta
124073,0.0493,No deserta
110486,0.3202,No deserta
110570,0.4995,No deserta
110583,0.3171,No deserta
110584,0.857,Deserta
110623,0.2367,No deserta
110743,0.4691,No deserta
110742,0.255,No deserta
110744,0.9657,Deserta
110837,0.8096,Deserta
110838,0.8379,Deserta
110880,0.2239,No deserta
110882,0.9672,Deserta
111001,0.7709,Deserta
110950,0.9924,Deserta
110951,0.9807,Deserta
111064,0.3183,No deserta
111081,0.9695,Deserta
111082,0.984,Deserta
111099,0.5111,Deserta
111098,0.9728,Deserta
111183,0.8985,Deserta
111168,0.2307,No deserta
111170,0.5774,Deserta
111169,0.3476,No deserta
111172,0.4643,No deserta
111173,0.8976,Deserta
111174,0.966,Deserta
111201,0.942,Deserta
111203,0.2333,No deserta
148003,0.9557,Deserta
111202,0.1753,No deserta
111204,0.8867,Deserta
111293,0.9868,Deserta
111292,0.3976,No deserta
111295,0.9799,Deserta
111317,0.9579,Deserta
111367,0.3595,No deserta
111364,0.4142,No deserta
111365,0.9575,Deserta
111439,0.9827,Deserta
111438,0.3692,No deserta
111500,0.2871,No deserta
111514,0.9825,Deserta
111546,0.988,Deserta
111549,0.4975,No deserta
111607,0.916,Deserta
111688,0.9212,Deserta
111687,0.6577,Deserta
111744,0.262,No deserta
111746,0.2548,No deserta
111745,0.4399,No deserta
111743,0.9553,Deserta
111747,0.647,Deserta
111780,0.7958,Deserta
111782,0.243,No deserta
111783,0.7438,Deserta
111882,0.6612,Deserta
111884,0.2766,No deserta
111921,0.8816,Deserta
111987,0.6595,Deserta
112171,0.3235,No deserta
112228,0.9504,Deserta
112226,0.4371,No deserta
112229,0.4166,No deserta
112230,0.2959,No deserta
112300,0.844,Deserta
112435,0.972,Deserta
112437,0.2381,No deserta
112634,0.9827,Deserta
112633,0.234,No deserta
112637,0.3776,No deserta
112632,0.2349,No deserta
112642,0.9671,Deserta
112644,0.2122,No deserta
112863,0.9833,Deserta
112864,0.9763,Deserta
113141,0.4951,No deserta
113139,0.5149,Deserta
113318,0.4563,No deserta
113572,0.1536,No deserta
113570,0.3838,No deserta
113574,0.8926,Deserta
113573,0.4789,No deserta
113571,0.2217,No deserta
113584,0.9328,Deserta
113580,0.3221,No deserta
113579,0.8828,Deserta
113575,0.2797,No deserta
113586,0.8455,Deserta
113576,0.9567,Deserta
113582,0.4736,No deserta
113616,0.5348,Deserta
113610,0.8051,Deserta
113615,0.4177,No deserta
113612,0.9798,Deserta
113607,0.5068,Deserta
113621,0.9344,Deserta
113620,0.3009,No deserta
113980,0.9673,Deserta
113982,0.9858,Deserta
113976,0.9436,Deserta
113988,0.9832,Deserta
113985,0.9384,Deserta
113984,0.3054,No deserta
113986,0.432,No deserta
114175,0.2428,No deserta
114172,0.2759,No deserta
114174,0.3355,No deserta
114173,0.9497,Deserta
114177,0.2904,No deserta
114176,0.9785,Deserta
114178,0.9726,Deserta
114180,0.3264,No deserta
114179,0.9779,Deserta
114183,0.7595,Deserta
114184,0.9599,Deserta
114185,0.4304,No deserta
114238,0.8173,Deserta
114293,0.2893,No deserta
114451,0.3784,No deserta
114450,0.3433,No deserta
114452,0.9595,Deserta
114453,0.8041,Deserta
114449,0.3098,No deserta
114837,0.4004,No deserta
114839,0.4485,No deserta
114840,0.9258,Deserta
114845,0.9686,Deserta
114843,0.9029,Deserta
146454,0.8992,Deserta
115036,0.9538,Deserta
115032,0.3112,No deserta
115034,0.9888,Deserta
115037,0.9714,Deserta
115035,0.9382,Deserta
115039,0.8843,Deserta
115033,0.9466,Deserta
115038,0.9182,Deserta
115041,0.9627,Deserta
115047,0.9915,Deserta
115048,0.9511,Deserta
115046,0.9848,Deserta
115330,0.4546,No deserta
115331,0.9738,Deserta
115339,0.9874,Deserta
115337,0.8629,Deserta
115338,0.8443,Deserta
115509,0.9671,Deserta
115721,0.9697,Deserta
115722,0.2911,No deserta
115762,0.8863,Deserta
115813,0.9317,Deserta
115814,0.9432,Deserta
115815,0.3258,No deserta
148042,0.2768,No deserta
115874,0.4398,No deserta
115873,0.5412,Deserta
115944,0.5528,Deserta
115960,0.8502,Deserta
115978,0.1928,No deserta
116008,0.8365,Deserta
116087,0.7186,Deserta
116157,0.3603,No deserta
116164,0.2266,No deserta
116162,0.6271,Deserta
116213,0.427,No deserta
116215,0.233,No deserta
116212,0.2933,No deserta
116219,0.1796,No deserta
116217,0.9339,Deserta
116222,0.3316,No deserta
116221,0.6926,Deserta
116369,0.8319,Deserta
116371,0.2296,No deserta
116441,0.1118,No deserta
116468,0.7037,Deserta
116471,0.4128,No deserta
116472,0.1453,No deserta
116469,0.4054,No deserta
116508,0.263,No deserta
116509,0.2928,No deserta
116565,0.4338,No deserta
116567,0.1694,No deserta
116566,0.1598,No deserta
116570,0.3847,No deserta
116569,0.8539,Deserta
116568,0.2337,No deserta
116639,0.903,Deserta
116736,0.3392,No deserta
116819,0.5492,Deserta
116957,0.9797,Deserta
116959,0.9003,Deserta
116958,0.2506,No deserta
116962,0.9566,Deserta
116961,0.9133,Deserta
117256,0.206,No deserta
117257,0.8652,Deserta
117258,0.8653,Deserta
117284,0.9344,Deserta
117288,0.9775,Deserta
117427,0.766,Deserta
117516,0.1982,No deserta
117517,0.2488,No deserta
117518,0.2766,No deserta
117521,0.2476,No deserta
117554,0.1321,No deserta
117555,0.4279,No deserta
117612,0.5335,Deserta
117613,0.3208,No deserta
117667,0.9367,Deserta
117783,0.9761,Deserta
117782,0.9521,Deserta
117854,0.8458,Deserta
117855,0.2659,No deserta
117944,0.3485,No deserta
117945,0.245,No deserta
118046,0.5955,Deserta
118044,0.1732,No deserta
118045,0.9146,Deserta
118041,0.9717,Deserta
118043,0.9474,Deserta
118042,0.3349,No deserta
118157,0.2343,No deserta
118161,0.6724,Deserta
118158,0.1013,No deserta
118160,0.8917,Deserta
118197,0.3213,No deserta
118200,0.149,No deserta
118199,0.311,No deserta
118402,0.1624,No deserta
118400,0.9793,Deserta
118401,0.9651,Deserta
118399,0.5142,Deserta
118403,0.9616,Deserta
118459,0.9403,Deserta
118457,0.9641,Deserta
118621,0.3461,No deserta
118665,0.9707,Deserta
118664,0.4943,No deserta
118708,0.4613,No deserta
118709,0.9638,Deserta
118710,0.9016,Deserta
118804,0.3887,No deserta
118802,0.1423,No deserta
118805,0.9598,Deserta
118803,0.3243,No deserta
118806,0.9369,Deserta
118836,0.8457,Deserta
118840,0.4468,No deserta
118968,0.6987,Deserta
118899,0.2805,No deserta
118900,0.0923,No deserta
118904,0.8729,Deserta
118905,0.2643,No deserta
118903,0.8159,Deserta
119048,0.2059,No deserta
119049,0.295,No deserta
119052,0.2281,No deserta
119051,0.1812,No deserta
119172,0.2072,No deserta
119173,0.1397,No deserta
119174,0.4011,No deserta
119289,0.1446,No deserta
119286,0.1706,No deserta
119291,0.8263,Deserta
119290,0.9179,Deserta
119287,0.5163,Deserta
119310,0.331,No deserta
119309,0.6974,Deserta
119371,0.758,Deserta
119396,0.1622,No deserta
119411,0.19,No deserta
119421,0.9283,Deserta
119422,0.1088,No deserta
119423,0.2562,No deserta
119505,0.9636,Deserta
119626,0.243,No deserta
119724,0.1359,No deserta
119722,0.1063,No deserta
119725,0.9867,Deserta
119839,0.2485,No deserta
119865,0.304,No deserta
119886,0.9507,Deserta
119963,0.8417,Deserta
120149,0.9076,Deserta
120278,0.1949,No deserta
120329,0.2218,No deserta
86083,0.2972,No deserta
105833,0.9565,Deserta
120423,0.8702,Deserta
120425,0.9719,Deserta
100651,0.9516,Deserta
120656,0.9747,Deserta
120685,0.3286,No deserta
120752,0.3048,No deserta
120753,0.8818,Deserta
120754,0.9648,Deserta
120837,0.3107,No deserta
120898,0.4453,No deserta
120974,0.1096,No deserta
120975,0.1961,No deserta
108604,0.2077,No deserta
113264,0.7805,Deserta
121026,0.1459,No deserta
121027,0.5485,Deserta
105559,0.9444,Deserta
121220,0.4233,No deserta
121219,0.2204,No deserta
121222,0.8667,Deserta
118838,0.8997,Deserta
121260,0.1545,No deserta
121261,0.3806,No deserta
121304,0.1264,No deserta
121305,0.97,Deserta
92319,0.376,No deserta
121481,0.9681,Deserta
121482,0.2011,No deserta
146445,0.8809,Deserta
113770,0.9476,Deserta
121592,0.8717,Deserta
121593,0.1914,No deserta
121623,0.7652,Deserta
121624,0.4435,No deserta
121689,0.1412,No deserta
115042,0.9655,Deserta
121718,0.3417,No deserta
121719,0.8988,Deserta
90256,0.2029,No deserta
121766,0.8216,Deserta
121810,0.4192,No deserta
121811,0.9361,Deserta
121879,0.297,No deserta
121877,0.0776,No deserta
121878,0.9348,Deserta
121882,0.2159,No deserta
121955,0.8303,Deserta
107837,0.2651,No deserta
107736,0.8316,Deserta
122039,0.912,Deserta
122038,0.1684,No deserta
122037,0.32,No deserta
122041,0.8976,Deserta
122042,0.3612,No deserta
104685,0.9662,Deserta
122119,0.1288,No deserta
122124,0.816,Deserta
122121,0.2622,No deserta
122125,0.1183,No deserta
122120,0.2226,No deserta
122122,0.0845,No deserta
122126,0.68,Deserta
122235,0.2961,No deserta
122242,0.9122,Deserta
122239,0.3524,No deserta
122248,0.9183,Deserta
122247,0.2107,No deserta
122244,0.2257,No deserta
122249,0.2249,No deserta
122245,0.1125,No deserta
122240,0.2157,No deserta
122238,0.1957,No deserta
122246,0.111,No deserta
122241,0.2178,No deserta
122251,0.2741,No deserta
122254,0.2052,No deserta
122250,0.2066,No deserta
122257,0.2207,No deserta
122256,0.3548,No deserta
122258,0.146,No deserta
99221,0.3998,No deserta
102032,0.5861,Deserta
122435,0.1748,No deserta
122436,0.2433,No deserta
122441,0.2803,No deserta
122440,0.9212,Deserta
122444,0.3488,No deserta
122443,0.1026,No deserta
122447,0.4997,No deserta
122448,0.2189,No deserta
122523,0.0736,No deserta
122522,0.2667,No deserta
122526,0.1731,No deserta
122527,0.3034,No deserta
122521,0.1652,No deserta
122524,0.7788,Deserta
122528,0.4742,No deserta
103588,0.9578,Deserta
122614,0.9657,Deserta
122615,0.6531,Deserta
122616,0.2255,No deserta
122681,0.1003,No deserta
122678,0.2145,No deserta
122676,0.1549,No deserta
122679,0.18,No deserta
122680,0.1096,No deserta
122677,0.1395,No deserta
122863,0.9635,Deserta
122864,0.1612,No deserta
122865,0.1047,No deserta
122866,0.7048,Deserta
122928,0.0834,No deserta
122925,0.3381,No deserta
122929,0.1098,No deserta
122937,0.1103,No deserta
123079,0.9488,Deserta
123081,0.0678,No deserta
123085,0.2026,No deserta
123084,0.9204,Deserta
123234,0.1344,No deserta
123232,0.2759,No deserta
123233,0.9331,Deserta
123236,0.1264,No deserta
123388,0.8904,Deserta
123389,0.1211,No deserta
123474,0.482,No deserta
123564,0.1119,No deserta
123566,0.3361,No deserta
123569,0.9375,Deserta
123565,0.8754,Deserta
123571,0.4226,No deserta
123568,0.0751,No deserta
123584,0.4479,No deserta
123637,0.9196,Deserta
123641,0.9136,Deserta
123785,0.9304,Deserta
123787,0.1972,No deserta
123786,0.9013,Deserta
123905,0.8908,Deserta
123902,0.1418,No deserta
123961,0.9341,Deserta
123960,0.0893,No deserta
124019,0.2874,No deserta
124018,0.2479,No deserta
124109,0.9409,Deserta
124107,0.1358,No deserta
124110,0.8035,Deserta
124169,0.0739,No deserta
124170,0.8123,Deserta
124172,0.1682,No deserta
124173,0.4802,No deserta
124175,0.4905,No deserta
124174,0.9385,Deserta
124484,0.0384,No deserta
108549,0.0443,No deserta
124846,0.0503,No deserta
115263,0.0667,No deserta
125018,0.0318,No deserta
125224,0.0527,No deserta
101179,0.0453,No deserta
125757,0.0382,No deserta
125763,0.0392,No deserta
125819,0.0552,No deserta
125891,0.0381,No deserta
125892,0.0413,No deserta
126183,0.0979,No deserta
126184,0.0502,No deserta
126280,0.5073,Deserta
126281,0.0253,No deserta
126668,0.0383,No deserta
126679,0.0613,No deserta
111975,0.0606,No deserta
127105,0.029,No deserta
127178,0.0336,No deserta
101938,0.5085,Deserta
127369,0.0668,No deserta
127449,0.0218,No deserta
127865,0.036,No deserta
127866,0.03,No deserta
106232,0.0319,No deserta
120680,0.7707,Deserta
128626,0.0389,No deserta
128772,0.0235,No deserta
129140,0.0243,No deserta
129141,0.0093,No deserta
129349,0.0337,No deserta
129350,0.017,No deserta
113409,0.4944,No deserta
129535,0.0262,No deserta
129607,0.026,No deserta
130116,0.0321,No deserta
130216,0.0166,No deserta
130217,0.3967,No deserta
130408,0.2221,No deserta
130437,0.0196,No deserta
130511,0.0341,No deserta
130555,0.02,No deserta
130764,0.0216,No deserta
