iter	Passed	Remaining
0	14	1093
1	27	1021
2	41	995
3	55	977
4	68	964
5	84	976
6	99	967
7	114	956
8	127	934
9	140	915
10	155	907
11	169	888
12	182	869
13	196	857
14	214	856
15	231	853
16	249	850
17	266	843
18	281	829
19	296	816
20	314	808
21	329	794
22	345	780
23	360	766
24	376	752
25	391	737
26	406	722
27	421	707
28	438	694
29	453	680
30	468	665
31	483	649
32	498	634
33	513	618
34	530	606
35	544	589
36	580	596
37	599	583
38	616	568
39	630	552
40	644	534
41	660	518
42	677	504
43	691	487
44	697	465
45	713	449
46	728	433
47	741	416
48	757	401
49	772	386
50	784	369
51	799	353
52	815	338
53	829	322
54	843	306
55	858	291
56	871	275
57	885	259
58	898	243
59	913	228
60	927	212
61	941	197
62	955	181
63	969	166
64	981	151
65	996	135
66	1013	120
67	1026	105
68	1041	90
69	1057	75
70	1070	60
71	1085	45
72	1098	30
73	1113	15
74	1127	0
